"","model_no","formulas","aic_scores","mse_scores"
"1",1,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct",34390.64833,0.004447129
"2",2,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct",34453.1995,0.00430796
"3",3,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean",34597.63938,0.00469245
"4",4,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct",34667.35346,0.004465286
"5",5,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct",34684.39762,0.004181978
"6",6,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct",34790.38987,0.004246205
"7",7,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct",34888.04497,0.004197692
"8",8,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+health_mean+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct",34998.03914,0.004276952
"9",9,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct+ind_manufacturing_pct",34832.8450699194,0.00414569658996223
"10",10,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+bornEU_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct",34734.3803537852,0.00410866949520157
"11",11,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+divorced_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct",34635.5734883144,0.00401548059830357
"12",12,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+routine_pct+lower_supervisor_pct",34556.6234321701,0.00408923708349645
"13",13,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+semiroutine_pct+lower_supervisor_pct",34477.5667883213,0.00404359848045165
"14",14,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+english_only_pct+scottish_only_pct+welshlang_pct+white_pct+bornEng_pct+lower_supervisor_pct",34410.3641951167,0.00396134804299756
"15",15,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|rgn) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|la) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|edlevel) +
                   (1 +notdeprived_pct+english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|agegroup) +notdeprived_pct+english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct",34350.7566853274,0.0040692088387369
"16",16,"p_eurefvote ~ (1|msoa) + (1|pcon) +
                   (1|agegroup:edlevel:rgn) +
                   (1|msoa:agegroup) + (1|msoa:edlevel) +
                   (1|la:agegroup) + (1|la:edlevel) +
                   (1 +english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|rgn) +
                   (1 +english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|la) +
                   (1 +english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|edlevel) +
                   (1 +english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct|agegroup) +english_only_pct+scottish_only_pct+white_pct+bornEng_pct+lower_supervisor_pct",34302.6086121127,0.00414609289268007
